veracity,statement,light_normalization
True,"""The legislation ... that Senator McCain supports would provide the authority for the federal government to surveille American citizens in their own country without any suspicion whatsoever that they're engaging in discussions with terrorists or about criminal activity.""","""the legislation ... that senator mccain supports would provide the authority for the federal government to surveille american citizens in their own country without any suspicion whatsoever that they're engaging in discussions with terrorists or about criminal activity."""
True,"""He won't even support his colleague's ... motion to censure the Bush administration for systemic repeated illegal wiretaps.""","""he won't even support his colleague's ... motion to censure the bush administration for systemic repeated illegal wiretaps."""
True,"""As a state senator, he (Obama) even refused to support a measure to stop sex businesses from opening near schools or places of worship!""","""as a state senator, he (obama) even refused to support a measure to stop sex businesses from opening near schools or places of worship!"""
False,"""Among his (Obama's) pet projects is a bill ... which would commit the U.S. to spending 0.7 percent of gross national product on foreign aid.""","""among his (obama's) pet projects is a bill ... which would commit the u.s. to spending 0.7 percent of gross national product on foreign aid."""
True,"""I am a candidate. I have not withdrawn.""","""i am a candidate. i have not withdrawn."""
False,"""You don't even have to go outside Obama's campaign to find advisers who are anti-Israel.""","""you don't even have to go outside obama's campaign to find advisers who are anti-israel."""
True,"""John McCain says it's okay with him if the U.S. spends the next thousand years in Iraq.""","""john mccain says it's okay with him if the u.s. spends the next thousand years in iraq."""
True,"""(John McCain) was even mentioned as a running mate with John Kerry.""","""(john mccain) was even mentioned as a running mate with john kerry."""
False,"""And, you know, our first president and our first commander in chief prayed every day. He had a field manual of prayers.""","""and, you know, our first president and our first commander in chief prayed every day. he had a field manual of prayers."""
True,"""We've got some 37-million of our fellow citizens who are living in poverty; about 12-million or 13-million are children.""","""we've got some 37-million of our fellow citizens who are living in poverty; about 12-million or 13-million are children."""
False,"""I spend a lot of time in Iowa, and believe it or not, in Ottumwa, Iowa, this is the heartland, the newspaper, the regular newspaper for Ottumwa, Iowa, is (a) bilingual newspaper.""","""i spend a lot of time in iowa, and believe it or not, in ottumwa, iowa, this is the heartland, the newspaper, the regular newspaper for ottumwa, iowa, is (a) bilingual newspaper."""
False,"""Congress' approval rating is 11 percent. You know who's higher? Dick Cheney and HMOs.""","""congress' approval rating is 11 percent. you know who's higher? dick cheney and hmos."""
True,"""Three out of the 18 benchmarks of the (GAO) have been fulfilled. Even among Republican math, that is a failing grade.""","""three out of the 18 benchmarks of the (gao) have been fulfilled. even among republican math, that is a failing grade."""
